item_id,supplier_id,item_name,category,size,unit_cost,selling_price,current_stock,rop_warning,abc_category,is_active,created_at,updated_at
1,3,Awards,Metal,,541.75,985.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
2,1,Patrol Shirt,Clothes,,840.0,1400.0,15,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
3,6,Patrol Shoes,Shoes,,1330.0,1900.0,2,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
4,2,Handcuffs,Equipment,,422.5,650.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
5,4,1D Patch,Patches,,24.75,55.0,107,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
6,1,Pavehawk,Clothes,,600.0,1000.0,13,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
7,4,Name Cloth,Patches,,18.0,40.0,114,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
8,1,Goa Pants,Clothes,,420.0,700.0,5,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
9,2,Vest,Equipment,,780.0,1200.0,13,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
10,6,Gibson Lites,Shoes,,1400.0,2000.0,24,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
11,2,Baton,Equipment,,195.0,300.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
12,1,Tactical Pants,Clothes,,540.0,900.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
13,1,Pershing Cap,Clothes,,420.0,700.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
14,6,Combat Shoes,Shoes,,1260.0,1800.0,24,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
15,1,Goa C,Clothes,,540.0,900.0,13,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
16,1,Goa B,Clothes,,510.0,850.0,0,1,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
17,1,Botak,Clothes,,39.0,65.0,38,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
18,1,V-Neck,Clothes,,72.0,120.0,52,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
19,1,Cycling,Clothes,,39.0,65.0,10,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
20,3,Nameplate,Metal,,137.5,250.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
21,6,Bota,Shoes,,210.0,300.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
22,1,Patrol Shirt Old,Clothes,,390.0,650.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
23,3,Badge,Metal,,27.5,50.0,38,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
24,1,Filed Service Uniform,Clothes,,1380.0,2300.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
25,2,Rig Girsan,Equipment,,1105.0,1700.0,16,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
26,6,Lites,Shoes,,1400.0,2000.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
27,1,Pavehawk Pants,Clothes,,600.0,1000.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
28,1,Sar Pnco,Clothes,,600.0,1000.0,13,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
29,6,A Shoes,Shoes,,1330.0,1900.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
30,2,Duyan,Equipment,,227.5,350.0,14,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
31,2,Poncho,Equipment,,195.0,300.0,9,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
32,5,Pcol Buckle,Accessories,,1375.0,2500.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
33,4,Logo,Patches,,51.75,115.0,125,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
34,6,Cs Volts,Shoes,,1617.0,2310.0,17,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
35,1,A Pants,Clothes,,405.0,675.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
36,1,Fsu,Clothes,,1380.0,2300.0,28,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
37,1,Og,Clothes,,72.0,120.0,16,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
38,1,Sar Uniform,Clothes,,540.0,900.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
39,1,Bullcap,Clothes,,210.0,350.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
40,1,Tmru Shirt,Clothes,,495.0,825.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
41,6,Combat,Shoes,,1435.0,2050.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
42,2,Rig Tisas,Equipment,,1300.0,2000.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
43,5,Police Major Pershing,Accessories,,2200.0,4000.0,37,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
44,6,Gibson,Shoes,,1400.0,2000.0,28,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
45,6,Clarino Gibson,Shoes,,1400.0,2000.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
46,2,Mess Kit,Equipment,,633.75,975.0,27,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
47,6,Gibson Lites 10,Shoes,,1365.0,1950.0,35,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
48,2,School Supplies,Equipment,,227.5,350.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
49,2,Metal Detector,Equipment,,1235.0,1900.0,32,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
50,6,Midcut,Shoes,,2660.0,3800.0,33,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
51,1,Lis Ath,Clothes,,570.0,950.0,34,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
52,6,Cs Boots,Shoes,,2590.0,3700.0,28,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
53,1,Pixilized Cs Volts,Clothes,,2220.0,3700.0,35,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
54,2,Pito Carabiner,Equipment,,97.5,150.0,12,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
55,1,A Shirt,Clothes,,240.0,400.0,10,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
56,6,Combat Boots,Shoes,,1260.0,1800.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
57,2,Mag Pouch,Equipment,,390.0,600.0,15,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
58,5,Bullcap W Patch,Accessories,,192.5,350.0,1,1,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
59,1,Black Socks,Clothes,,48.0,80.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
60,6,While Rubber Shoes Peak,Shoes,,2380.0,3400.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
61,2,Sling Bag,Equipment,,552.5,850.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
62,1,Cloth,Clothes,,72.0,120.0,74,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
63,1,White Socks,Clothes,,48.0,80.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
64,2,Flight,Equipment,,130.0,200.0,12,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
65,6,Midcut Cs Volts 9,Shoes,,2310.0,3300.0,9,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
66,6,Midcut Cs Volts 11,Shoes,,2310.0,3300.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
67,1,Sg Pants,Clothes,,156.0,260.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
68,2,Holster,Equipment,,390.0,600.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
69,3,Garrison Buckle,Metal,,99.0,180.0,9,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
70,4,1D Security Patch,Patches,,1350.0,3000.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
71,1,Ripstop Pixilized,Clothes,,1800.0,3000.0,23,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
72,4,1D Cloth Patch,Patches,,27.0,60.0,0,1,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
73,2,Baton Pouch,Equipment,,195.0,300.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
74,4,Patch,Patches,,13.5,30.0,89,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
75,2,Large Flashlight,Equipment,,195.0,300.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
76,5,Tactical Belt,Accessories,,165.0,300.0,8,1,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
77,3,Pnco Buckle,Metal,,412.5,750.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
78,2,Medkit,Equipment,,65.0,100.0,9,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
79,2,Flight Pouch,Equipment,,162.5,250.0,13,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
80,1,Pnp Rain Coat,Clothes,,540.0,900.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
81,1,Goa B Upper,Clothes,,787.5,1312.5,29,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
