sales_id,user_id,sale_date,payment_method,subtotal,discount,total_amount
1,2,2024-01-03 12:10:23,Cash,1200.0,0.0,1200.0
2,2,2024-01-03 14:32:33,GCash,260.0,0.0,260.0
3,4,2024-01-03 16:45:56,Cash,360.0,0.0,360.0
4,3,2024-01-04 16:54:27,GCash,700.0,0.0,700.0
5,3,2024-01-05 10:36:49,Cash,300.0,0.0,300.0
6,3,2024-01-05 17:03:35,Cash,2000.0,0.0,2000.0
7,4,2024-01-05 16:38:44,Cash,1500.0,0.0,1500.0
8,2,2024-01-05 08:01:29,GCash,1500.0,0.0,1500.0
9,3,2024-01-09 13:14:53,GCash,3000.0,0.0,3000.0
10,2,2024-01-09 08:01:39,Bank Transfer,3000.0,0.0,3000.0
11,3,2024-01-10 10:09:23,Bank Transfer,80.0,0.0,80.0
12,4,2024-01-11 14:16:59,GCash,2000.0,0.0,2000.0
13,3,2024-01-11 11:39:59,Cash,100.0,0.0,100.0
14,2,2024-01-11 14:09:33,Cash,1700.0,0.0,1700.0
15,3,2024-01-12 08:36:54,Bank Transfer,650.0,0.0,650.0
16,2,2024-01-12 09:58:21,Bank Transfer,1000.0,0.0,1000.0
17,4,2024-01-12 14:20:11,Cash,300.0,0.0,300.0
18,4,2024-01-15 10:46:57,Cash,300.0,0.0,300.0
19,4,2024-01-17 15:37:22,Cash,250.0,0.0,250.0
20,3,2024-01-17 10:56:48,Cash,120.0,0.0,120.0
21,4,2024-01-17 08:19:18,GCash,250.0,0.0,250.0
22,3,2024-01-17 08:34:53,Cash,300.0,0.0,300.0
23,2,2024-01-17 11:19:11,GCash,300.0,0.0,300.0
24,3,2024-01-17 08:49:31,GCash,1100.0,0.0,1100.0
25,3,2024-01-17 15:02:56,Cash,700.0,0.0,700.0
26,3,2024-01-18 08:42:38,Cash,1900.0,0.0,1900.0
27,4,2024-01-18 10:02:23,Credit Card,600.0,0.0,600.0
28,2,2024-01-18 14:17:03,Cash,1900.0,0.0,1900.0
29,4,2024-01-18 13:43:52,Cash,150.0,0.0,150.0
30,2,2024-01-18 13:39:36,GCash,330.0,0.0,330.0
31,3,2024-01-18 16:24:35,Cash,800.0,0.0,800.0
32,4,2024-01-18 14:17:06,GCash,500.0,0.0,500.0
33,2,2024-01-18 13:29:03,Bank Transfer,500.0,0.0,500.0
34,4,2024-01-18 10:27:50,GCash,150.0,0.0,150.0
35,3,2024-01-19 09:13:26,GCash,100.0,0.0,100.0
36,3,2024-01-19 17:49:48,GCash,100.0,0.0,100.0
37,4,2024-01-19 17:23:46,Cash,160.0,0.0,160.0
38,4,2024-01-20 14:13:16,GCash,1000.0,0.0,1000.0
39,4,2024-01-22 15:14:19,Cash,80.0,0.0,80.0
40,3,2024-01-22 12:10:41,Cash,250.0,0.0,250.0
41,4,2024-01-22 13:53:17,Cash,250.0,0.0,250.0
42,4,2024-01-22 14:51:40,Cash,750.0,0.0,750.0
43,2,2024-01-22 11:11:05,GCash,180.0,0.0,180.0
44,2,2024-01-22 12:27:09,Cash,80.0,0.0,80.0
45,2,2024-01-22 13:34:28,GCash,80.0,0.0,80.0
46,3,2024-01-22 16:10:50,Cash,80.0,0.0,80.0
47,4,2024-01-22 11:00:56,Cash,180.0,0.0,180.0
48,3,2024-01-22 08:19:06,Credit Card,350.0,0.0,350.0
49,4,2024-01-22 09:52:01,GCash,400.0,0.0,400.0
50,3,2024-01-22 08:16:19,Cash,600.0,0.0,600.0
51,4,2024-01-22 09:42:53,Bank Transfer,12150.0,0.0,12150.0
52,3,2024-01-23 16:53:36,Cash,200.0,0.0,200.0
53,4,2024-01-23 08:11:35,Credit Card,280.0,0.0,280.0
54,2,2024-01-24 15:28:31,Cash,2800.0,0.0,2800.0
55,3,2024-01-24 09:25:16,Credit Card,3000.0,0.0,3000.0
56,4,2024-01-24 10:55:08,GCash,6000.0,0.0,6000.0
57,4,2024-01-24 10:35:53,GCash,400.0,0.0,400.0
58,4,2024-01-24 13:28:09,Cash,200.0,0.0,200.0
59,4,2024-01-24 14:19:55,Credit Card,50.0,0.0,50.0
60,2,2024-01-24 13:56:59,GCash,1715.0,0.0,1715.0
61,4,2024-01-25 13:07:58,Cash,200.0,0.0,200.0
62,3,2024-01-25 09:54:52,Cash,250.0,0.0,250.0
63,4,2024-01-25 13:36:27,Cash,300.0,0.0,300.0
64,2,2024-01-25 08:34:28,Cash,900.0,0.0,900.0
65,2,2024-01-25 16:31:24,Cash,150.0,0.0,150.0
66,2,2024-01-25 08:47:04,Cash,2000.0,0.0,2000.0
67,4,2024-01-25 08:11:39,GCash,2000.0,0.0,2000.0
68,4,2024-01-25 09:17:06,GCash,5000.0,0.0,5000.0
69,2,2024-01-26 11:14:53,Bank Transfer,400.0,0.0,400.0
70,3,2024-01-26 16:06:42,Cash,200.0,0.0,200.0
71,2,2024-01-26 08:01:20,Cash,300.0,0.0,300.0
72,2,2024-01-26 09:36:29,Cash,300.0,0.0,300.0
73,4,2024-01-26 12:37:19,GCash,2000.0,0.0,2000.0
74,4,2024-01-26 10:03:47,Cash,2100.0,0.0,2100.0
75,2,2024-01-30 08:37:24,Cash,440.0,0.0,440.0
76,2,2024-01-31 13:28:05,Cash,620.0,0.0,620.0
77,3,2024-02-01 08:30:01,GCash,50.0,0.0,50.0
78,4,2024-02-01 15:37:38,Bank Transfer,270.0,0.0,270.0
79,4,2024-02-01 09:34:50,Cash,400.0,0.0,400.0
80,2,2024-02-01 12:46:47,Cash,400.0,0.0,400.0
81,3,2024-02-02 11:57:27,GCash,800.0,0.0,800.0
82,2,2024-02-02 15:53:24,Bank Transfer,300.0,0.0,300.0
83,2,2024-02-02 15:20:28,Cash,300.0,0.0,300.0
