sales_item_id,sales_id,item_id,quantity_sold,selling_price
1,1,11,4,300.0
2,2,54,2,130.0
3,3,79,2,180.0
4,4,8,1,700.0
5,5,356,1,300.0
6,6,25,1,2000.0
7,7,25,1,1500.0
8,8,25,1,1500.0
9,9,62,100,30.0
10,10,74,100,30.0
11,11,391,1,80.0
12,12,3,1,2000.0
13,13,102,1,100.0
14,14,127,1,1700.0
15,15,226,2,325.0
16,16,27,1,1000.0
17,17,54,2,150.0
18,18,157,1,300.0
19,19,39,1,250.0
20,20,1,1,120.0
21,21,20,1,250.0
22,22,79,1,300.0
23,23,73,1,300.0
24,24,92,1,1100.0
25,25,8,1,700.0
26,26,3,1,1900.0
27,27,4,1,600.0
28,28,25,1,1900.0
29,29,54,1,150.0
30,30,39,1,330.0
31,31,1,1,800.0
32,32,1,1,500.0
33,33,1,1,500.0
34,34,459,1,150.0
35,35,488,2,50.0
36,36,487,2,50.0
37,37,431,2,80.0
38,38,6,1,1000.0
39,39,23,1,80.0
40,40,374,1,250.0
41,41,67,1,250.0
42,42,214,1,750.0
43,43,246,1,180.0
44,44,501,1,80.0
45,45,190,1,80.0
46,46,513,1,80.0
47,47,162,1,180.0
48,48,11,1,350.0
49,49,4,1,400.0
50,50,11,2,300.0
51,51,1,5,2430.0
52,52,102,2,100.0
53,53,67,1,280.0
54,54,11,10,280.0
55,55,75,10,300.0
56,56,4,10,600.0
57,57,292,1,400.0
58,58,409,1,200.0
59,59,531,1,50.0
60,60,1,1,1715.0
61,61,407,1,200.0
62,62,281,1,250.0
63,63,347,3,100.0
64,64,148,2,450.0
65,65,102,1,150.0
66,66,42,1,2000.0
67,67,42,1,2000.0
68,68,32,2,2500.0
69,69,89,1,400.0
70,70,416,4,50.0
71,71,11,1,300.0
72,72,340,1,300.0
73,73,3,1,2000.0
74,74,41,1,2100.0
75,75,1,1,440.0
76,76,1,1,620.0
77,77,162,1,50.0
78,78,67,1,270.0
79,79,298,1,400.0
80,80,293,1,400.0
81,81,16,1,800.0
82,82,31,1,300.0
83,83,31,1,300.0
84,84,27,1,1000.0
85,85,71,1,3000.0
86,86,51,2,950.0
87,87,317,2,180.0
88,88,53,1,3700.0
89,89,1,1,995.0
90,90,121,1,1800.0
91,91,13,1,700.0
92,92,360,1,280.0
93,93,198,1,700.0
94,94,541,1,40.0
95,95,13,1,700.0
96,96,77,1,700.0
97,97,117,1,150.0
98,98,1,1,1060.0
99,99,103,1,500.0
100,100,394,1,25.0
101,101,555,6,5.0
102,102,394,1,200.0
103,103,1,1,1220.0
104,104,1,1,285.0
105,105,92,1,1200.0
106,106,333,3,100.0
107,107,210,1,400.0
108,108,1,1,1095.0
109,109,482,1,100.0
110,110,13,1,700.0
111,111,47,1,2000.0
112,112,162,2,35.0
113,113,82,1,2600.0
114,114,153,1,600.0
115,115,16,2,850.0
116,116,103,1,450.0
117,117,131,1,450.0
118,118,246,1,180.0
119,119,17,6,70.0
120,120,314,3,120.0
121,121,267,2,100.0
122,122,255,4,130.0
123,123,227,5,130.0
124,124,295,4,100.0
125,125,267,3,100.0
126,126,64,1,400.0
127,127,352,1,300.0
128,128,78,1,300.0
129,129,493,1,100.0
130,130,206,1,400.0
131,131,169,1,50.0
132,132,274,1,50.0
133,133,206,1,400.0
134,134,47,1,1900.0
135,135,230,1,300.0
136,136,114,1,2000.0
137,137,219,1,700.0
138,138,1,1,950.0
139,139,54,2,150.0
140,140,169,2,50.0
141,141,491,2,50.0
142,142,440,1,150.0
143,143,11,1,300.0
144,144,54,1,100.0
145,145,142,1,1500.0
146,146,248,2,80.0
147,147,389,1,240.0
148,148,162,1,50.0
149,149,16,1,1500.0
150,150,15,1,1500.0
151,151,2,1,1800.0
152,152,29,1,1800.0
153,153,27,1,1000.0
154,154,108,1,1500.0
155,155,133,4,180.0
156,156,411,1,200.0
157,157,133,6,150.0
158,158,168,1,1100.0
159,159,406,2,100.0
160,160,230,1,300.0
161,161,27,1,850.0
162,162,10,1,2200.0
