so_id,supplier_id,user_id,priority,status,order_date,expected_delivery_date,actual_delivery_date,tracking_no
1,3,1,Normal,Received,2024-01-03,2024-01-08,2024-01-08,TRK-000001
2,3,1,Normal,Received,2024-05-25,2024-05-30,2024-05-30,TRK-000002
3,3,1,Low,Received,2024-10-15,2024-10-20,2024-10-20,TRK-000003
4,3,1,Normal,Received,2025-02-26,2025-03-03,2025-03-05,TRK-000004
5,3,1,Normal,Received,2025-07-12,2025-07-17,2025-07-17,TRK-000005
6,3,1,Normal,Received,2025-11-30,2025-12-05,2025-12-05,TRK-000006
7,1,1,Normal,Cancelled,2024-01-06,2024-01-13,,TRK-000007
8,1,1,Low,Received,2024-08-19,2024-08-26,2024-08-29,TRK-000008
9,1,1,High,Received,2025-03-31,2025-04-07,2025-04-07,TRK-000009
10,1,1,Normal,Received,2025-11-05,2025-11-12,2025-11-12,TRK-000010
11,6,1,High,Received,2024-01-02,2024-01-16,2024-01-16,TRK-000011
12,6,1,Low,Cancelled,2025-02-16,2025-03-02,,TRK-000012
13,2,1,High,Received,2024-01-10,2024-01-22,2024-01-22,TRK-000013
14,2,1,Low,Received,2024-10-24,2024-11-05,2024-11-09,TRK-000014
15,2,1,Normal,Received,2025-08-07,2025-08-19,2025-08-19,TRK-000015
16,4,1,Normal,Cancelled,2024-01-13,2024-01-17,,TRK-000016
17,4,1,Normal,Received,2024-02-29,2024-03-04,2024-03-09,TRK-000017
18,4,1,Normal,Received,2024-04-18,2024-04-22,2024-04-22,TRK-000018
19,4,1,Low,Received,2024-06-05,2024-06-09,2024-06-09,TRK-000019
20,4,1,High,Received,2024-07-24,2024-07-28,2024-07-28,TRK-000020
21,4,1,Normal,Received,2024-09-10,2024-09-14,2024-09-14,TRK-000021
22,4,1,High,Received,2024-10-30,2024-11-03,2024-11-06,TRK-000022
23,4,1,Low,Received,2024-12-17,2024-12-21,2024-12-21,TRK-000023
24,4,1,Low,Cancelled,2025-02-04,2025-02-08,,TRK-000024
25,4,1,Normal,Received,2025-03-21,2025-03-25,2025-03-25,TRK-000025
26,4,1,Low,Cancelled,2025-05-01,2025-05-05,,TRK-000026
27,4,1,Normal,Received,2025-06-19,2025-06-23,2025-06-23,TRK-000027
28,4,1,Low,Received,2025-08-08,2025-08-12,2025-08-14,TRK-000028
29,4,1,Normal,Received,2025-09-20,2025-09-24,2025-09-24,TRK-000029
30,4,1,Normal,Received,2025-11-07,2025-11-11,2025-11-11,TRK-000030
31,1,1,Low,Received,2024-01-01,2024-01-08,2024-01-08,TRK-000031
32,1,1,Normal,Received,2025-01-20,2025-01-27,2025-01-27,TRK-000032
33,4,1,Normal,Received,2024-01-03,2024-01-07,2024-01-07,TRK-000033
34,4,1,Low,Received,2024-02-23,2024-02-27,2024-02-27,TRK-000034
35,4,1,High,Received,2024-04-08,2024-04-12,2024-04-12,TRK-000035
36,4,1,High,Received,2024-05-29,2024-06-02,2024-06-05,TRK-000036
37,4,1,High,Received,2024-07-14,2024-07-18,2024-07-18,TRK-000037
38,4,1,Normal,Received,2024-09-01,2024-09-05,2024-09-05,TRK-000038
39,4,1,Normal,Received,2024-10-16,2024-10-20,2024-10-20,TRK-000039
40,4,1,Normal,Received,2024-12-01,2024-12-05,2024-12-05,TRK-000040
41,4,1,Normal,Received,2025-01-14,2025-01-18,2025-01-18,TRK-000041
42,4,1,Low,Received,2025-03-06,2025-03-10,2025-03-10,TRK-000042
43,4,1,High,Received,2025-04-24,2025-04-28,2025-04-28,TRK-000043
44,4,1,Low,Cancelled,2025-06-12,2025-06-16,,TRK-000044
45,4,1,Normal,Cancelled,2025-08-01,2025-08-05,,TRK-000045
46,4,1,High,Received,2025-09-17,2025-09-21,2025-09-21,TRK-000046
47,4,1,Low,Received,2025-11-01,2025-11-05,2025-11-05,TRK-000047
48,4,1,Normal,Received,2025-12-17,2025-12-21,2025-12-21,TRK-000048
49,1,1,Normal,Received,2024-01-03,2024-01-10,2024-01-10,TRK-000049
50,1,1,Normal,Received,2024-10-19,2024-10-26,2024-10-26,TRK-000050
51,1,1,Normal,Cancelled,2025-08-02,2025-08-09,,TRK-000051
52,2,1,Low,Received,2024-01-15,2024-01-27,2024-01-27,TRK-000052
53,2,1,Normal,Received,2024-10-05,2024-10-17,2024-10-17,TRK-000053
54,2,1,Normal,Received,2025-06-22,2025-07-04,2025-07-04,TRK-000054
55,6,1,High,Received,2024-01-12,2024-01-26,2024-01-26,TRK-000055
56,6,1,Low,Received,2025-05-21,2025-06-04,2025-06-04,TRK-000056
57,2,1,Normal,Received,2024-01-14,2024-01-26,2024-01-26,TRK-000057
58,2,1,High,Received,2024-07-13,2024-07-25,2024-07-25,TRK-000058
59,2,1,Low,Received,2025-01-10,2025-01-22,2025-01-22,TRK-000059
60,2,1,Normal,Received,2025-07-02,2025-07-14,2025-07-14,TRK-000060
61,1,1,Normal,Received,2024-01-07,2024-01-14,2024-01-14,TRK-000061
62,1,1,Normal,Received,2025-05-26,2025-06-02,2025-06-02,TRK-000062
63,1,1,Normal,Received,2024-01-13,2024-01-20,2024-01-20,TRK-000063
64,1,1,Normal,Received,2024-12-25,2025-01-01,2025-01-03,TRK-000064
65,1,1,High,Received,2025-12-10,2025-12-17,2025-12-17,TRK-000065
66,6,1,Normal,Received,2024-01-11,2024-01-25,2024-01-25,TRK-000066
67,6,1,Low,Received,2025-05-26,2025-06-09,2025-06-09,TRK-000067
68,1,1,High,Received,2024-01-02,2024-01-09,2024-01-09,TRK-000068
69,1,1,Normal,Cancelled,2025-05-16,2025-05-23,,TRK-000069
70,1,1,Normal,Cancelled,2024-01-06,2024-01-13,,TRK-000070
71,1,1,Low,Cancelled,2025-05-21,2025-05-28,,TRK-000071
72,1,1,Normal,Received,2024-01-14,2024-01-21,2024-01-24,TRK-000072
73,1,1,Normal,Received,2024-03-02,2024-03-09,2024-03-09,TRK-000073
74,1,1,High,Received,2024-04-10,2024-04-17,2024-04-17,TRK-000074
75,1,1,Normal,Received,2024-05-26,2024-06-02,2024-06-02,TRK-000075
76,1,1,Normal,Received,2024-07-03,2024-07-10,2024-07-10,TRK-000076
77,1,1,Normal,Received,2024-08-16,2024-08-23,2024-08-23,TRK-000077
78,1,1,Normal,Received,2024-09-23,2024-09-30,2024-09-30,TRK-000078
79,1,1,Normal,Received,2024-11-04,2024-11-11,2024-11-11,TRK-000079
80,1,1,Normal,Received,2024-12-21,2024-12-28,2024-12-28,TRK-000080
81,1,1,Normal,Received,2025-02-03,2025-02-10,2025-02-10,TRK-000081
82,1,1,Normal,Received,2025-03-22,2025-03-29,2025-03-29,TRK-000082
83,1,1,High,Received,2025-05-09,2025-05-16,2025-05-16,TRK-000083
84,1,1,Low,Received,2025-06-18,2025-06-25,2025-06-25,TRK-000084
85,1,1,High,Received,2025-07-29,2025-08-05,2025-08-06,TRK-000085
86,1,1,Low,Received,2025-09-05,2025-09-12,2025-09-12,TRK-000086
87,1,1,Normal,Cancelled,2025-10-14,2025-10-21,,TRK-000087
88,1,1,Low,Received,2025-11-26,2025-12-03,2025-12-03,TRK-000088
89,1,1,Normal,Received,2024-01-04,2024-01-11,2024-01-11,TRK-000089
90,1,1,High,Received,2024-03-30,2024-04-06,2024-04-06,TRK-000090
91,1,1,High,Cancelled,2024-06-27,2024-07-04,,TRK-000091
92,1,1,Normal,Received,2024-09-23,2024-09-30,2024-10-01,TRK-000092
93,1,1,Normal,Received,2024-12-16,2024-12-23,2024-12-23,TRK-000093
94,1,1,High,Received,2025-03-18,2025-03-25,2025-03-25,TRK-000094
95,1,1,Low,Received,2025-06-16,2025-06-23,2025-06-23,TRK-000095
96,1,1,Low,Received,2025-09-10,2025-09-17,2025-09-17,TRK-000096
97,1,1,Normal,Received,2025-12-09,2025-12-16,2025-12-16,TRK-000097
98,1,1,High,Received,2024-01-13,2024-01-20,2024-01-20,TRK-000098
99,1,1,Normal,Received,2024-02-23,2024-03-01,2024-03-01,TRK-000099
100,1,1,High,Received,2024-04-06,2024-04-13,2024-04-13,TRK-000100
101,1,1,Normal,Received,2024-05-23,2024-05-30,2024-05-30,TRK-000101
102,1,1,Normal,Cancelled,2024-07-05,2024-07-12,,TRK-000102
103,1,1,Normal,Received,2024-08-15,2024-08-22,2024-08-22,TRK-000103
104,1,1,High,Received,2024-09-30,2024-10-07,2024-10-07,TRK-000104
105,1,1,High,Cancelled,2024-11-16,2024-11-23,,TRK-000105
106,1,1,Low,Cancelled,2025-01-01,2025-01-08,,TRK-000106
107,1,1,Normal,Received,2025-02-17,2025-02-24,2025-02-26,TRK-000107
108,1,1,Low,Received,2025-03-28,2025-04-04,2025-04-04,TRK-000108
109,1,1,Normal,Received,2025-05-08,2025-05-15,2025-05-15,TRK-000109
110,1,1,Normal,Received,2025-06-25,2025-07-02,2025-07-02,TRK-000110
111,1,1,Normal,Received,2025-08-04,2025-08-11,2025-08-11,TRK-000111
112,1,1,Normal,Cancelled,2025-09-15,2025-09-22,,TRK-000112
113,1,1,High,Cancelled,2025-11-01,2025-11-08,,TRK-000113
114,1,1,Low,Cancelled,2025-12-18,2025-12-25,,TRK-000114
115,3,1,Low,Received,2024-01-03,2024-01-08,2024-01-08,TRK-000115
116,3,1,High,Received,2024-11-12,2024-11-17,2024-11-17,TRK-000116
117,3,1,Normal,Received,2025-09-23,2025-09-28,2025-09-28,TRK-000117
118,6,1,Normal,Received,2024-01-14,2024-01-28,2024-01-28,TRK-000118
119,6,1,High,Received,2024-11-09,2024-11-23,2024-11-27,TRK-000119
120,6,1,High,Received,2025-09-05,2025-09-19,2025-09-19,TRK-000120
121,1,1,Low,Received,2024-01-13,2024-01-20,2024-01-20,TRK-000121
122,1,1,Low,Received,2025-05-29,2025-06-05,2025-06-05,TRK-000122
123,3,1,High,Received,2024-01-08,2024-01-13,2024-01-13,TRK-000123
124,3,1,Low,Received,2024-04-22,2024-04-27,2024-04-27,TRK-000124
125,3,1,Normal,Cancelled,2024-07-31,2024-08-05,,TRK-000125
126,3,1,Low,Received,2024-11-12,2024-11-17,2024-11-17,TRK-000126
127,3,1,Normal,Received,2025-02-22,2025-02-27,2025-02-27,TRK-000127
128,3,1,High,Received,2025-06-10,2025-06-15,2025-06-15,TRK-000128
129,3,1,Low,Received,2025-09-16,2025-09-21,2025-09-21,TRK-000129
130,1,1,Normal,Received,2024-01-06,2024-01-13,2024-01-13,TRK-000130
131,1,1,Normal,Received,2025-05-18,2025-05-25,2025-05-25,TRK-000131
132,2,1,Low,Cancelled,2024-01-07,2024-01-19,,TRK-000132
133,2,1,High,Received,2025-05-19,2025-05-31,2025-05-31,TRK-000133
134,6,1,Low,Received,2024-01-14,2024-01-28,2024-01-29,TRK-000134
135,6,1,Normal,Cancelled,2025-05-31,2025-06-14,,TRK-000135
136,1,1,Low,Received,2024-01-05,2024-01-12,2024-01-12,TRK-000136
137,1,1,Normal,Cancelled,2025-05-17,2025-05-24,,TRK-000137
138,1,1,Normal,Cancelled,2024-01-02,2024-01-09,,TRK-000138
139,1,1,High,Received,2025-05-20,2025-05-27,2025-05-27,TRK-000139
140,6,1,Normal,Received,2024-01-12,2024-01-26,2024-01-26,TRK-000140
141,6,1,Low,Received,2025-05-23,2025-06-06,2025-06-06,TRK-000141
142,2,1,Normal,Received,2024-01-06,2024-01-18,2024-01-18,TRK-000142
143,2,1,Normal,Received,2025-04-11,2025-04-23,2025-04-23,TRK-000143
144,2,1,Low,Received,2024-01-12,2024-01-24,2024-01-24,TRK-000144
145,2,1,Normal,Received,2024-12-23,2025-01-04,2025-01-04,TRK-000145
146,2,1,Normal,Pending,2025-12-10,2025-12-22,,TRK-000146
147,5,1,Normal,Received,2024-01-12,2024-01-18,2024-01-18,TRK-000147
148,5,1,Normal,Received,2025-05-31,2025-06-06,2025-06-06,TRK-000148
149,4,1,High,Received,2024-01-08,2024-01-12,2024-01-12,TRK-000149
150,4,1,Normal,Received,2024-02-29,2024-03-04,2024-03-04,TRK-000150
151,4,1,Normal,Cancelled,2024-04-17,2024-04-21,,TRK-000151
152,4,1,High,Received,2024-05-30,2024-06-03,2024-06-03,TRK-000152
153,4,1,Normal,Received,2024-07-21,2024-07-25,2024-07-25,TRK-000153
154,4,1,Normal,Received,2024-09-03,2024-09-07,2024-09-07,TRK-000154
155,4,1,Normal,Received,2024-10-22,2024-10-26,2024-10-26,TRK-000155
156,4,1,Normal,Received,2024-12-09,2024-12-13,2024-12-13,TRK-000156
157,4,1,Normal,Received,2025-01-30,2025-02-03,2025-02-03,TRK-000157
158,4,1,High,Received,2025-03-16,2025-03-20,2025-03-20,TRK-000158
159,4,1,Low,Received,2025-05-08,2025-05-12,2025-05-12,TRK-000159
160,4,1,High,Received,2025-06-24,2025-06-28,2025-06-28,TRK-000160
161,4,1,Low,Received,2025-08-15,2025-08-19,2025-08-19,TRK-000161
162,4,1,Low,Received,2025-10-07,2025-10-11,2025-10-11,TRK-000162
163,4,1,Normal,Received,2025-11-26,2025-11-30,2025-11-30,TRK-000163
164,6,1,Normal,Received,2024-01-10,2024-01-24,2024-01-24,TRK-000164
165,6,1,High,Cancelled,2025-05-28,2025-06-11,,TRK-000165
166,1,1,Normal,Received,2024-01-08,2024-01-15,2024-01-15,TRK-000166
167,1,1,Normal,Received,2025-05-27,2025-06-03,2025-06-06,TRK-000167
168,1,1,Low,Received,2024-01-08,2024-01-15,2024-01-15,TRK-000168
169,1,1,Normal,Received,2025-05-26,2025-06-02,2025-06-02,TRK-000169
170,1,1,High,Received,2024-01-06,2024-01-13,2024-01-13,TRK-000170
171,1,1,Normal,Received,2024-07-30,2024-08-06,2024-08-06,TRK-000171
172,1,1,Normal,Received,2025-02-23,2025-03-02,2025-03-02,TRK-000172
173,1,1,Normal,Received,2025-09-11,2025-09-18,2025-09-19,TRK-000173
174,1,1,Normal,Received,2024-01-01,2024-01-08,2024-01-08,TRK-000174
175,1,1,High,Received,2025-05-20,2025-05-27,2025-05-27,TRK-000175
176,1,1,Low,Received,2024-01-01,2024-01-08,2024-01-08,TRK-000176
177,1,1,Normal,Received,2025-05-11,2025-05-18,2025-05-18,TRK-000177
178,1,1,Normal,Received,2024-01-09,2024-01-16,2024-01-16,TRK-000178
179,1,1,Normal,Received,2025-05-25,2025-06-01,2025-06-01,TRK-000179
180,6,1,Normal,Received,2024-01-05,2024-01-19,2024-01-22,TRK-000180
181,6,1,Normal,Received,2025-05-14,2025-05-28,2025-05-28,TRK-000181
182,2,1,High,Received,2024-01-05,2024-01-17,2024-01-21,TRK-000182
183,2,1,Normal,Cancelled,2025-05-23,2025-06-04,,TRK-000183
184,5,1,Low,Received,2024-01-12,2024-01-18,2024-01-18,TRK-000184
185,5,1,Low,Received,2025-05-30,2025-06-05,2025-06-05,TRK-000185
186,6,1,Low,Received,2024-01-01,2024-01-15,2024-01-17,TRK-000186
187,6,1,Normal,Received,2025-05-12,2025-05-26,2025-05-26,TRK-000187
188,6,1,Normal,Received,2024-01-04,2024-01-18,2024-01-18,TRK-000188
189,6,1,Normal,Received,2025-05-15,2025-05-29,2025-05-29,TRK-000189
190,2,1,Low,Received,2024-01-03,2024-01-15,2024-01-15,TRK-000190
191,2,1,Low,Received,2025-05-14,2025-05-26,2025-05-26,TRK-000191
192,6,1,Normal,Received,2024-01-12,2024-01-26,2024-01-26,TRK-000192
193,6,1,High,Received,2025-05-24,2025-06-07,2025-06-07,TRK-000193
194,2,1,Low,Received,2024-01-02,2024-01-14,2024-01-14,TRK-000194
195,2,1,Normal,Received,2025-05-11,2025-05-23,2025-05-23,TRK-000195
196,2,1,High,Received,2024-01-01,2024-01-13,2024-01-13,TRK-000196
