so_item_id,so_id,item_id,order_quantity,unit_price
1,1,1,11,552.38
2,2,1,8,562.19
3,3,1,13,553.91
4,4,1,12,537.36
5,5,1,9,527.29
6,6,1,8,537.1
7,7,2,11,860.4
8,8,2,11,837.77
9,9,2,10,859.0
10,10,2,11,808.85
11,11,3,11,1352.74
12,12,3,12,1328.47
13,13,4,11,428.16
14,14,4,14,430.94
15,15,4,8,437.22
16,16,5,35,23.82
17,17,5,39,25.4
18,18,5,39,25.64
19,19,5,37,25.25
20,20,5,36,25.1
21,21,5,38,25.56
22,22,5,36,25.39
23,23,5,41,23.93
24,24,5,39,24.14
25,25,5,38,24.71
26,26,5,37,25.25
27,27,5,37,24.05
28,28,5,35,25.01
29,29,5,35,24.46
30,30,5,37,24.12
31,31,6,9,611.21
32,32,6,13,584.62
33,33,7,23,17.77
34,34,7,23,18.68
35,35,7,25,17.81
36,36,7,26,17.5
37,37,7,24,18.7
38,38,7,26,18.2
39,39,7,20,17.83
40,40,7,23,18.72
41,41,7,20,18.63
42,42,7,20,17.58
43,43,7,23,17.37
44,44,7,20,17.61
45,45,7,21,18.58
46,46,7,26,18.71
47,47,7,23,18.35
48,48,7,22,18.34
49,49,8,10,426.55
50,50,8,10,413.42
51,51,8,8,422.59
52,52,9,13,797.51
53,53,9,9,760.26
54,54,9,9,781.89
55,55,10,9,1395.77
56,56,10,14,1421.53
57,57,11,11,189.43
58,58,11,12,202.32
59,59,11,12,187.52
60,60,11,10,202.05
61,61,12,12,519.53
62,62,12,11,528.45
63,63,13,8,436.06
64,64,13,13,413.45
65,65,13,10,431.49
66,66,14,9,1302.42
67,67,14,13,1271.02
68,68,15,11,539.29
69,69,15,8,530.57
70,70,16,10,528.56
71,71,16,13,514.09
72,72,17,14,39.57
73,73,17,11,40.48
74,74,17,12,40.46
75,75,17,10,39.54
76,76,17,10,39.51
77,77,17,12,37.56
78,78,17,12,39.39
79,79,17,13,38.92
80,80,17,12,38.97
81,81,17,13,40.09
82,82,17,14,39.38
83,83,17,8,37.47
84,84,17,10,38.93
85,85,17,10,37.57
86,86,17,14,39.33
87,87,17,10,39.39
88,88,17,11,39.96
89,89,18,8,70.88
90,90,18,14,70.44
91,91,18,12,73.04
92,92,18,12,70.31
93,93,18,13,74.37
94,94,18,14,71.74
95,95,18,11,72.47
96,96,18,12,73.09
97,97,18,14,70.77
98,98,19,12,38.91
99,99,19,13,39.48
100,100,19,12,37.98
101,101,19,13,39.09
102,102,19,14,37.62
103,103,19,9,38.93
104,104,19,13,39.94
105,105,19,9,40.17
106,106,19,14,39.04
107,107,19,9,39.22
108,108,19,13,38.94
109,109,19,10,38.74
110,110,19,12,38.51
111,111,19,11,38.1
112,112,19,11,37.96
113,113,19,10,39.13
114,114,19,8,39.36
115,115,20,14,136.56
116,116,20,14,133.57
117,117,20,10,137.63
118,118,21,12,212.25
119,119,21,12,211.0
120,120,21,8,215.96
121,121,22,14,391.36
122,122,22,11,385.13
123,123,23,8,28.11
124,124,23,14,26.6
125,125,23,13,27.49
126,126,23,14,26.62
127,127,23,13,26.95
128,128,23,10,26.56
129,129,23,8,28.27
130,130,24,9,1390.11
