log_id,item_id,user_id,log_type,quantity_changed,stock_after_change,reference_so_id,notes,timestamp
1,1,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
2,1,1,RESTOCK,11,21,1.0,Stock received from supplier,2024-01-08 09:00:00
3,1,3,SALE,-1,20,,Ref: sales_id=20,2024-01-17 10:56:48
4,1,2,SALE,-1,19,,Ref: sales_id=33,2024-01-18 13:29:03
5,1,4,SALE,-1,18,,Ref: sales_id=32,2024-01-18 14:17:06
6,1,3,SALE,-1,17,,Ref: sales_id=31,2024-01-18 16:24:35
7,1,4,SALE,-5,12,,Ref: sales_id=51,2024-01-22 09:42:53
8,1,2,SALE,-1,11,,Ref: sales_id=60,2024-01-24 13:56:59
9,1,2,SALE,-1,10,,Ref: sales_id=75,2024-01-30 08:37:24
10,1,2,SALE,-1,9,,Ref: sales_id=76,2024-01-31 13:28:05
11,1,3,SALE,-1,8,,Ref: sales_id=89,2024-02-06 10:06:42
12,1,2,SALE,-1,7,,Ref: sales_id=98,2024-02-08 14:00:04
13,1,4,SALE,-1,6,,Ref: sales_id=103,2024-02-09 08:34:36
14,1,4,SALE,-1,5,,Ref: sales_id=104,2024-02-09 14:42:00
15,1,2,SALE,-1,4,,Ref: sales_id=108,2024-02-15 13:12:03
16,1,4,SALE,-1,3,,Ref: sales_id=138,2024-03-01 11:03:01
17,1,3,SALE,-1,2,,Ref: sales_id=165,2024-03-23 10:52:57
18,1,4,SALE,-1,1,,Ref: sales_id=174,2024-04-12 15:48:43
19,1,2,SALE,-1,0,,Ref: sales_id=183,2024-04-17 11:32:16
20,1,2,SALE,0,0,,Ref: sales_id=187,2024-04-18 12:51:20
21,1,4,RETURN,1,1,,Customer return of sales_id=183,2024-04-25 11:32:16
22,1,1,RESTOCK,8,9,2.0,Stock received from supplier,2024-05-30 09:00:00
23,1,4,SALE,-1,8,,Ref: sales_id=403,2024-09-11 14:18:58
24,1,2,SALE,-1,7,,Ref: sales_id=404,2024-09-12 09:11:32
25,1,2,SALE,-1,6,,Ref: sales_id=407,2024-09-14 11:47:24
26,1,2,SALE,-1,5,,Ref: sales_id=414,2024-09-20 17:30:10
27,1,4,SALE,-1,4,,Ref: sales_id=479,2024-10-16 17:27:28
28,1,4,SALE,-1,3,,Ref: sales_id=481,2024-10-18 10:05:56
29,1,1,RESTOCK,13,16,3.0,Stock received from supplier,2024-10-20 09:00:00
30,1,4,SALE,-1,15,,Ref: sales_id=497,2024-10-28 09:52:35
31,1,4,SALE,-1,14,,Ref: sales_id=498,2024-10-28 13:16:31
32,1,3,SALE,-1,13,,Ref: sales_id=495,2024-10-28 13:44:36
33,1,3,SALE,-1,12,,Ref: sales_id=496,2024-10-28 17:07:31
34,1,2,SALE,-1,11,,Ref: sales_id=513,2024-10-31 08:13:23
35,1,2,SALE,-1,10,,Ref: sales_id=829,2025-01-13 08:00:10
36,1,2,SALE,-3,7,,Ref: sales_id=901,2025-01-25 08:41:36
37,1,1,RESTOCK,12,19,4.0,Stock received from supplier,2025-03-05 09:00:00
38,1,4,SALE,-1,18,,Ref: sales_id=1122,2025-05-14 11:17:06
39,1,3,SALE,-1,17,,Ref: sales_id=1141,2025-05-20 09:37:18
40,1,1,RESTOCK,9,26,5.0,Stock received from supplier,2025-07-17 09:00:00
41,1,2,SALE,-1,25,,Ref: sales_id=1292,2025-08-09 11:59:59
42,1,2,SALE,-5,20,,Ref: sales_id=1300,2025-08-12 08:26:05
43,1,2,RETURN,5,25,,Customer return of sales_id=1300,2025-08-14 08:26:05
44,1,2,SALE,-1,24,,Ref: sales_id=1337,2025-09-26 08:26:38
45,1,4,SALE,-4,20,,Ref: sales_id=1356,2025-10-15 16:14:02
46,1,4,SALE,-2,18,,Ref: sales_id=1364,2025-10-25 13:24:19
47,1,2,SALE,-1,17,,Ref: sales_id=1373,2025-10-29 17:16:47
48,1,1,RESTOCK,8,25,6.0,Stock received from supplier,2025-12-05 09:00:00
49,2,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
50,2,4,SALE,-1,9,,Ref: sales_id=151,2024-03-15 13:54:13
51,2,4,SALE,-1,8,,Ref: sales_id=206,2024-05-06 11:49:42
52,2,2,SALE,-1,7,,Ref: sales_id=226,2024-05-20 08:37:12
53,2,2,SALE,-1,6,,Ref: sales_id=232,2024-05-20 12:39:57
54,2,2,SALE,-1,5,,Ref: sales_id=233,2024-05-20 14:20:31
55,2,2,SALE,-1,4,,Ref: sales_id=250,2024-05-31 12:16:27
56,2,3,SALE,-1,3,,Ref: sales_id=295,2024-06-26 13:29:17
57,2,4,SALE,-2,1,,Ref: sales_id=294,2024-06-26 15:40:07
58,2,2,RETURN,2,3,,Customer return of sales_id=294,2024-07-02 15:40:07
59,2,4,SALE,-1,2,,Ref: sales_id=331,2024-07-15 11:31:06
60,2,1,RESTOCK,11,13,8.0,Stock received from supplier,2024-08-29 09:00:00
61,2,3,SALE,-1,12,,Ref: sales_id=394,2024-09-02 14:14:34
62,2,3,SALE,-1,11,,Ref: sales_id=410,2024-09-19 09:04:40
63,2,2,SALE,-1,10,,Ref: sales_id=541,2024-11-18 11:12:03
64,2,2,SALE,-1,9,,Ref: sales_id=553,2024-11-21 11:30:02
65,2,3,SALE,-1,8,,Ref: sales_id=587,2024-11-28 17:52:32
66,2,3,SALE,-3,5,,Ref: sales_id=678,2024-12-03 16:04:25
67,2,2,SALE,-1,4,,Ref: sales_id=764,2024-12-16 16:08:22
68,2,3,SALE,-1,3,,Ref: sales_id=842,2025-01-14 16:28:46
69,2,4,SALE,-1,2,,Ref: sales_id=849,2025-01-15 15:40:27
70,2,4,SALE,-1,1,,Ref: sales_id=900,2025-01-24 13:51:55
71,2,2,SALE,-1,0,,Ref: sales_id=932,2025-02-03 17:08:25
72,2,4,SALE,0,0,,Ref: sales_id=1021,2025-03-06 11:59:51
73,2,2,SALE,0,0,,Ref: sales_id=1036,2025-03-11 09:06:12
74,2,4,SALE,0,0,,Ref: sales_id=1079,2025-03-29 12:34:14
75,2,1,RESTOCK,10,10,9.0,Stock received from supplier,2025-04-07 09:00:00
76,2,2,SALE,-1,9,,Ref: sales_id=1111,2025-05-09 09:28:10
77,2,3,SALE,-1,8,,Ref: sales_id=1166,2025-05-31 11:45:28
78,2,4,SALE,-1,7,,Ref: sales_id=1176,2025-06-10 14:40:56
79,2,2,SALE,-1,6,,Ref: sales_id=1267,2025-07-29 16:27:47
80,2,4,SALE,-1,5,,Ref: sales_id=1303,2025-08-14 15:17:48
81,2,1,RESTOCK,11,16,10.0,Stock received from supplier,2025-11-12 09:00:00
82,2,3,SALE,-1,15,,Ref: sales_id=1395,2025-12-03 10:02:28
83,3,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
84,3,4,SALE,-1,9,,Ref: sales_id=12,2024-01-11 14:16:59
85,3,1,RESTOCK,11,20,11.0,Stock received from supplier,2024-01-16 09:00:00
86,3,3,SALE,-1,19,,Ref: sales_id=26,2024-01-18 08:42:38
87,3,4,SALE,-1,18,,Ref: sales_id=73,2024-01-26 12:37:19
88,3,4,SALE,-1,17,,Ref: sales_id=193,2024-04-29 14:27:28
89,3,2,SALE,-1,16,,Ref: sales_id=258,2024-06-04 14:58:42
90,3,4,SALE,-1,15,,Ref: sales_id=272,2024-06-11 10:25:56
91,3,3,SALE,-1,14,,Ref: sales_id=271,2024-06-11 12:27:22
92,3,4,SALE,-1,13,,Ref: sales_id=275,2024-06-13 14:26:25
93,3,4,SALE,-1,12,,Ref: sales_id=288,2024-06-19 09:30:53
94,3,3,SALE,-1,11,,Ref: sales_id=309,2024-07-03 12:43:14
95,3,2,SALE,-1,10,,Ref: sales_id=351,2024-07-30 15:46:27
96,3,3,SALE,-3,7,,Ref: sales_id=353,2024-07-30 17:09:52
97,3,3,SALE,-1,6,,Ref: sales_id=363,2024-08-07 08:51:05
98,3,4,SALE,-1,5,,Ref: sales_id=390,2024-08-29 14:14:32
99,3,2,SALE,-1,4,,Ref: sales_id=475,2024-10-16 11:46:42
100,3,1,MANUAL_ADJUSTMENT,-1,3,,Stocktake correction,2025-05-23 00:00:00
101,3,4,SALE,-1,2,,Ref: sales_id=1296,2025-08-11 09:34:26
102,4,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
103,4,4,SALE,-1,9,,Ref: sales_id=27,2024-01-18 10:02:23
104,4,1,RESTOCK,11,20,13.0,Stock received from supplier,2024-01-22 09:00:00
105,4,4,SALE,-1,19,,Ref: sales_id=49,2024-01-22 09:52:01
